,Data,Casos
0,2020-01-22,548
1,2020-01-23,643
2,2020-01-24,920
3,2020-01-25,1406
4,2020-01-26,2075
5,2020-01-27,2877
6,2020-01-28,5509
7,2020-01-29,6087
8,2020-01-30,8141
9,2020-01-31,9802
10,2020-02-01,11891
11,2020-02-02,16630
12,2020-02-03,19716
13,2020-02-04,23707
14,2020-02-05,27440
15,2020-02-06,30587
16,2020-02-07,34110
17,2020-02-08,36814
18,2020-02-09,39829
19,2020-02-10,42354
20,2020-02-11,44386
21,2020-02-12,44759
22,2020-02-13,59895
23,2020-02-14,66358
24,2020-02-15,68413
25,2020-02-16,70513
26,2020-02-17,72434
27,2020-02-18,74211
28,2020-02-19,74619
29,2020-02-20,75077
30,2020-02-21,75550
31,2020-02-22,77001
32,2020-02-23,77022
33,2020-02-24,77241
34,2020-02-25,77754
35,2020-02-26,78166
36,2020-02-27,78600
37,2020-02-28,78928
38,2020-02-29,79356
39,2020-03-01,79932
40,2020-03-02,80136
41,2020-03-03,80261
42,2020-03-04,80386
43,2020-03-05,80537
44,2020-03-06,80690
45,2020-03-07,80770
46,2020-03-08,80823
47,2020-03-09,80860
48,2020-03-10,80887
49,2020-03-11,80921
50,2020-03-12,80932
51,2020-03-13,80945
52,2020-03-14,80977
53,2020-03-15,81003
54,2020-03-16,81033
55,2020-03-17,81058
56,2020-03-18,81102
57,2020-03-19,81156
58,2020-03-20,81250
59,2020-03-21,81305
60,2020-03-22,81435
61,2020-03-23,81498
62,2020-03-24,81591
63,2020-03-25,81661
64,2020-03-26,81782
65,2020-03-27,81897
66,2020-03-28,81999
67,2020-03-29,82122
68,2020-03-30,82198
69,2020-03-31,82279
70,2020-04-01,82361
71,2020-04-02,82432
72,2020-04-03,82511
73,2020-04-04,82543
74,2020-04-05,82602
75,2020-04-06,82665
76,2020-04-07,82718
77,2020-04-08,82809
78,2020-04-09,82883
79,2020-04-10,82941
80,2020-04-11,83014
81,2020-04-12,83134
82,2020-04-13,83213
83,2020-04-14,83306
84,2020-04-15,83356
85,2020-04-16,83403
86,2020-04-17,83760
87,2020-04-18,83787
88,2020-04-19,83805
89,2020-04-20,83817
90,2020-04-21,83853
