,Data,Casos
0,2/26/2020,1
1,2/27/2020,1
2,2/28/2020,1
3,2/29/2020,2
4,3/1/2020,2
5,3/2/2020,2
6,3/3/2020,2
7,3/4/2020,4
8,3/5/2020,4
9,3/6/2020,13
10,3/7/2020,13
11,3/8/2020,20
12,3/9/2020,25
13,3/10/2020,31
14,3/11/2020,38
15,3/12/2020,52
16,3/13/2020,151
17,3/14/2020,151
18,3/15/2020,162
19,3/16/2020,200
20,3/17/2020,321
21,3/18/2020,372
22,3/19/2020,621
23,3/20/2020,793
24,3/21/2020,1021
25,3/22/2020,1546
26,3/23/2020,1924
27,3/24/2020,2247
28,3/25/2020,2554
29,3/26/2020,2985
30,3/27/2020,3417
31,3/28/2020,3904
32,3/29/2020,4256
33,3/30/2020,4579
34,3/31/2020,5717
35,4/1/2020,6836
36,4/2/2020,8044
37,4/3/2020,9056
38,4/4/2020,10360
39,4/5/2020,11130
40,4/6/2020,12161
41,4/7/2020,14034
42,4/8/2020,16170
43,4/9/2020,18092
44,4/10/2020,19638
45,4/11/2020,20727
46,4/12/2020,22192
